-	-	literature	-	smudgeplot	assembly	-	-	BUSCO	-	-	-	GenomeScope	-	-	dnaPipeTE	-	-
code	species	callular_mechanism	hybrid_origin	ploidy	assembly_size[M]	number_of_scaffolds[k]	N50[k]	complete	fragmented	duplicated	missing	haploid_length[M]	heterozygosity	repeats	TEs	other_repeats	all_repeats
Pfor1	Poecilia_formosa	functional_apomixis	yes	2	748.9	4	1574.2	98.06	0.51	7.57	1.43	988.2	1.73	58.02	17.9	1	26.1
Avag1	Adineta_vaga	functional_apomixis	NA	4	217.9	36.2	260.3	90.29	1.43	67.08	8.28	97.8	2.4	15.51	7	0.7	66.4
Aric1	Adineta_ricciae	functional_apomixis	NA	4	174.5	4.1	276.8	88.34	2.25	62.99	9.41	87.5	5.545	9.56	0.8	0.4	5.2
Rmac1	Rotaria_macrura	NA	NA	4	234.7	29.3	73.2	89.16	1.64	15.24	9.2	260.1	0.125	27.26	8	2.1	42.8
Rmag1	Rotaria_magnacalcarata	NA	NA	4	180.5	20.9	53.2	90.49	1.02	16.16	8.49	226.4	0.49	36.67	9.1	1.3	38.4
Lcla1	Leptopilina_clavipes	gamete_duplication	no	2	255.4	36.6	13.8	93.87	4.09	0.82	2.04	273.9	0.3	32.81	12.5	1	34.8
Tpre1	Trichogramma_pretiosum	gamete_duplication	no	2	195.1	0.4	3706.2	98.36	0.31	4.4	1.33	192.7	0.03	15.06	6.2	2.3	21.5
Obir1	Ooceraea_biroi	central_fusion	no	2	212.8	4.6	1350.7	98.16	1.02	1.02	0.82	184.8	0.53	9.91	12.1	0.6	19.7
Amel1	Apis_mellifera_capensis	central_fusion	no	2	NA	NA	NA	NA	NA	NA	NA	238.8	0.82	16.13	NA	NA	NA
Amel2	Apis_mellifera_capensis	central_fusion	no	2	NA	NA	NA	NA	NA	NA	NA	236.9	0.86	15.39	NA	NA	NA
Amel3	Apis_mellifera_capensis	central_fusion	no	2	NA	NA	NA	NA	NA	NA	NA	142.1	1.195	8.46	NA	NA	NA
Aruf1	Aptinothrips_rufus	gamete_duplication	no	2	339.9	301.7	4.1	97.55	1.33	0.82	1.12	362.7	0.25	31.27	8.4	2.9	38.2
Fcan1	Folsomia_candida	terminal_fusion	no	2	221.7	0.2	6519.4	93.15	1.64	1.94	5.21	295.7	0.125	45.81	8.9	0.5	28.1
Dpul1	Daphnia_pulex	NA	NA	2	156.4	1.8	494.8	97.75	0.61	3.37	1.64	NA	NA	NA	NA	NA	NA
Dpul2	Daphnia_pulex	central_fusion	yes	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1	4.5	22.8
Dpul3	Daphnia_pulex	central_fusion	yes	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	4.1	22.9
Pvir1	Procambarus_virginalis	functional_apomixis	NA	3	3290.5	1942.8	39.3	87.12	6.44	0.92	6.44	3528.2	1.845	83.09	34.7	2.6	55.2
Psam1	Plectus_sambesii	functional_apomixis	NA	2	186.7	19	23.4	75.87	13.34	16.4	10.79	117.7	3.775	24.14	4.2	1.3	27.9
Mbel1	Mesorhabditis_belari	unknown_automixis	NA	2	163.5	1.7	469	79.74	7.74	3.56	12.53	148.5	1.19	25.64	NA	NA	NA
Dcor1	Diploscapter_coronatus	central_fusion	yes	2	170.5	0.5	1007.7	91.55	4.58	67.92	3.87	84.2	5.105	12.04	7.6	0.6	65.5
Dpac1	Diploscapter_pachys	central_fusion	yes	2	157.7	10.8	124.2	90.63	5.3	49.49	4.07	94.3	5.26	43.13	2.6	1.3	34.7
Pdav1	Panagrolaimus_davidiDAW1	unknown_automixis	yes	3	163.2	51.9	4.9	31.36	9.16	4.18	59.47	123.8	5.715	48.6	3.5	0.8	21
Ps591	Panagrolaimus_sp.PS1159	unknown_automixis	yes	3	85	17.6	9.9	74.75	8.66	1.83	16.6	NA	NA	NA	9.8	1.4	77.4
Ps791	Panagrolaimus_sp.PS1579	unknown_automixis	yes	3	48.8	23.5	2.9	73.01	6.13	2.86	20.86	NA	NA	NA	NA	NA	NA
Minc1	Meloidogyne_incognita	functional_apomixis	yes	3	183.5	12.1	38.6	61.71	7.84	36.35	30.45	NA	NA	NA	NA	NA	NA
Minc2	Meloidogyne_incognita	functional_apomixis	yes	3	148.1	245.3	12.2	52.34	9.16	19.45	38.49	69	6.37	30.6	8	1.6	47.9
Mjav1	Meloidogyne_javanica	functional_apomixis	yes	4	235.8	31.3	10.4	61.1	7.54	31.06	31.36	NA	NA	NA	NA	NA	NA
Mjav2	Meloidogyne_javanica	functional_apomixis	yes	4	152.9	54.5	13.9	57.64	9.67	25.15	32.69	70	8.5	38.61	11.1	1.9	56.4
Mare1	Meloidogyne_arenaria	functional_apomixis	yes	4	258.1	26.2	16.5	65.07	7.43	36.46	27.49	NA	NA	NA	NA	NA	NA
Mare2	Meloidogyne_arenaria	functional_apomixis	yes	4	165.4	58.3	10.3	55.91	9.47	21.18	34.62	72.5	8.1	37.24	10.8	1.8	59
