id	num_proteins	uniref_hits	kphylum	kphylum%	kphylum+linked	kphylum+linked%
Anan1	35,495	22,568	894	2.52%	255	0.72%
Aric1	58,449	39,080	6,420	10.98%	5,864	10.03%
Avag1	67,256	42,130	8,142	12.11%	7,174	10.67%
Dcor1	34,063	29,310	217	0.64%	215	0.63%
Dpac1	38,423	38,276	3,199	8.33%	208	0.54%
Fcan1	28,734	28,634	1,828	6.36%	1,822	6.34%
sOcin1	20,247	20,111	1,290	6.37%	972	4.80%
Hduj1	20,252	18,582	371	1.83%	366	1.81%
Lcla1	50,004	16,773	2,332	4.66%	324	0.65%
Mare1	101,269	67,158	1,106	1.09%	476	0.47%
Mare2	27,633	23,504	340	1.23%	64	0.23%
Mbel1	29,883	16,696	214	0.72%	176	0.59%
Ment1	29,578	23,698	292	0.99%	65	0.22%
Mflo1	12,763	10,712	153	1.20%	41	0.32%
Minc1	43,718	36,581	651	1.49%	352	0.81%
Minc2	23,680	19,070	284	1.20%	86	0.36%
Mjav1	97,208	65,270	981	1.01%	317	0.33%
Mjav2	24,753	21,611	353	1.43%	88	0.36%
Obir1	24,105	24,051	3,550	14.73%	3,544	14.70%
sHsal1	26,735	26,660	3,929	14.70%	2,486	9.30%
sCfls1	23,922	23,882	3,554	14.86%	2,813	11.76%
Pdav1	31,630	15,498	2,481	7.84%	54	0.17%
Pfor1	49,526	49,345	212	0.43%	181	0.37%
Ps591	26,760	16,093	347	1.30%	116	0.43%
Ps791	18,060	11,594	272	1.51%	34	0.19%
Psam1	40,530	25,760	404	1.00%	NA	NA
Pvir1	22,206	10,728	823	3.71%	211	0.95%
Rmac1	25,818	18,066	3,232	12.52%	2,167	8.39%
Rmag1	37,284	22,524	3,754	10.07%	2,674	7.17%
Rvar1	14,248	13,981	198	1.39%	186	1.31%
Tpre1	13,200	12,228	1,618	12.26%	1,336	10.12%
sNvit1	24,529	24,448	3,141	12.81%	2,812	11.46%
sCflm1	17,189	17,125	2,228	12.96%	1,806	10.51%
