ID	Species	Type	TaxID	Num.genes	HGTc.phylum	HGTc.class	HGTc.order	HGTc.family	HGTc.phylum.%	HGTc.class.%	HGTc.order.%	HGTc.family.%
Anan1	Acrobeloides_nanus	Asexual	290746	35495	235	235	235	205	0.66%	0.66%	0.66%	0.58%
Aric1	Adineta_ricciae	Asexual	249248	58449	2236	2532	2532	2532	3.83%	4.33%	4.33%	4.33%
Avag1	Adineta_vaga	Asexual	104782	67256	2597	2948	2948	2948	3.86%	4.38%	4.38%	4.38%
Dcor1	Diploscapter_coronatus	Asexual	288516	34063	387	475	475	466	1.14%	1.39%	1.39%	1.37%
Dpac1	Diploscapter_pachys	Asexual	2018661	38423	386	463	463	456	1.00%	1.21%	1.21%	1.19%
Fcan1	Folsomia_candida	Asexual	158441	28734	898	776	776	776	3.13%	2.70%	2.70%	2.70%
sOcin1	Orchesella_cincta	Sexual	48709	20247	330	279	279	279	1.63%	1.38%	1.38%	1.38%
Hduj1	Hypsibius_dujardini	Asexual	232323	20252	260	260	260	260	1.28%	1.28%	1.28%	1.28%
Lcla1	Leptopilina_clavipes	Asexual	63434	50004	56	86	71	71	0.11%	0.17%	0.14%	0.14%
Mare1	Meloidogyne_arenaria	Asexual	6304	101269	437	437	439	357	0.43%	0.43%	0.43%	0.35%
Mare2	Meloidogyne_arenaria	Asexual	6304	27633	77	77	79	60	0.28%	0.28%	0.29%	0.22%
Mbel1	Mesorhabditis_belari	Asexual	2138241	29883	258	258	258	252	0.86%	0.86%	0.86%	0.84%
Ment1	Meloidogyne_enterica	Asexual	390850	29578	74	74	74	57	0.25%	0.25%	0.25%	0.19%
Mflo1	Meloidogyne_floridensis	Asexual	298350	12763	39	39	39	29	0.31%	0.31%	0.31%	0.23%
Minc1	Meloidogyne_incognita	Asexual	6306	43718	378	499	500	376	0.86%	1.14%	1.14%	0.86%
Minc2	Meloidogyne_incognita	Asexual	6306	23680	99	99	100	81	0.42%	0.42%	0.42%	0.34%
Mjav1	Meloidogyne_javanica	Asexual	6303	97208	299	299	299	243	0.31%	0.31%	0.31%	0.25%
Mjav2	Meloidogyne_javanica	Asexual	6303	24753	91	91	93	80	0.37%	0.37%	0.38%	0.32%
Obir1	Ooceraea_biroi	Asexual	2015173	24105	173	171	114	114	0.72%	0.71%	0.47%	0.47%
sHsal1	Harpagoxenus_saltator	Sexual	610380	26735	193	192	139	139	0.72%	0.72%	0.52%	0.52%
sCfls1	Camponotus_floridanus	Sexual	104421	23922	183	181	126	126	0.76%	0.76%	0.53%	0.53%
Pdav1	Panagrolaimus_davidi	Asexual	227884	31630	203	203	205	193	0.64%	0.64%	0.65%	0.61%
Pfor1	Poecilia_formosa	Asexual	48698	49526	5890	103	100	100	11.89%	0.21%	0.20%	0.20%
Ps591	Panagrolaimus_sp.PS1159	Asexual	55785	26760	148	148	148	110	0.55%	0.55%	0.55%	0.41%
Ps791	Panagrolaimus_sp.PS1579	Asexual	310962	18060	25	25	26	22	0.14%	0.14%	0.14%	0.12%
Pvir1	Procambarus_virginalis	Asexual	2065263	22206	18	13	13	13	0.08%	0.06%	0.06%	0.06%
Rmac1	Rotaria_macrura	Asexual	392029	25818	772	772	772	772	2.99%	2.99%	2.99%	2.99%
Rmag1	Rotaria_magnacalcarata	Asexual	392030	37284	936	936	936	936	2.51%	2.51%	2.51%	2.51%
Rvar1	Ramazzottius_varieornatus	Asexual	947166	14248	174	174	174	174	1.22%	1.22%	1.22%	1.22%
Tpre1	Trichogramma_pretiosum	Asexual	7493	13200	305	304	273	273	2.31%	2.30%	2.07%	2.07%
sNvit1	Nasonia_vitripennis	Sexual	7425	24529	179	177	118	118	0.73%	0.72%	0.48%	0.48%
sCflm1	Copidosoma_floridanum	Sexual	29053	17189	121	118	72	72	0.70%	0.69%	0.42%	0.42%
